country	lookback	lookahead	num_layers	train_rmse	test_rmse
US	1	1	5	1029.7998905154368	49741.99541838876
US	1	2	5	1147.0979378338843	151396.79473395782
US	1	3	5	2034.7122536862605	207777.16763843436
US	1	4	5	1384.5010318337345	311274.76922730776
US	1	5	5	1364.930115803631	321476.8959369504
US	2	1	5	900.3211904096559	77087.40311811239
US	2	2	5	1056.4986707170606	178362.51254967798
US	2	3	5	868.694281038408	313526.35930638853
US	2	4	5	684.4776520980743	422642.91564053117
US	2	5	5	688.648823653659	496692.3121040678
US	3	1	5	988.9512492636907	148230.5765418934
US	3	2	5	865.8851732865209	236267.38333454475
US	3	3	5	751.2048237666593	314524.3411543802
US	3	4	5	675.1723842936802	329713.4550468687
US	3	5	5	650.389236367815	491466.9739097968
US	4	1	5	1061.3702930176992	169291.33327617857
US	4	2	5	859.824730914412	233408.184793652
US	4	3	5	783.1807239920589	368608.90332938527
US	4	4	5	712.2230516842017	397889.55366350897
US	4	5	5	593.7312977723535	502348.98615095636
US	5	1	5	1267.2270097988524	184094.98363259103
US	5	2	5	769.0771171352116	335765.95562720264
US	5	3	5	1070.9401264879511	335331.40354214696
US	5	4	5	1224.4565468699107	438689.5887347633
US	5	5	5	800.7532902919877	465599.4892114707
India	1	1	5	13.983936705048189	555.6354927394948
India	1	2	5	17.11295196262993	639.4782054301528
India	1	3	5	20.387649357737565	467.3014443831106
India	1	4	5	22.318493534752246	529.251094992435
India	1	5	5	22.565302457217644	449.6704124826965
India	2	1	5	11.470026713029597	953.2749784460802
India	2	2	5	17.211190984217208	734.8580218543188
India	2	3	5	23.25501622245985	537.4766662228616
India	2	4	5	32.88188349767138	618.0659575324058
India	2	5	5	22.01900663451793	511.25433474496236
India	3	1	5	12.375685669572965	1004.321213031396
India	3	2	5	17.76645798497475	918.6123000370001
India	3	3	5	20.082903844732595	934.72713891291
India	3	4	5	20.764472251781743	759.4391219876761
India	3	5	5	19.92774940511191	849.6947729689056
India	4	1	5	14.051188421116082	848.8750619764518
India	4	2	5	18.62543890563685	1172.5835932765617
India	4	3	5	20.7090037372537	1055.272368334628
India	4	4	5	21.60195119329147	1022.0863771576666
India	4	5	5	19.663360512007333	826.1499439060514
India	5	1	5	13.463959906383632	1144.8612621041132
India	5	2	5	17.76570922554137	944.7258372316675
India	5	3	5	27.631022290478878	1029.7583616109373
India	5	4	5	21.40509705966078	974.6116620968573
India	5	5	5	18.33527288902089	1266.8199364025777
Italy	1	1	5	1014.7389813393228	8207.4400439778
Italy	1	2	5	1378.851590174101	22312.214008599603
Italy	1	3	5	1646.967682330044	38106.012772515205
Italy	1	4	5	2102.945464954837	36195.627890644704
Italy	1	5	5	2204.5675539618587	59540.99942568153
Italy	2	1	5	896.558192817281	4576.304797949714
Italy	2	2	5	1106.091069167351	3770.194062898848
Italy	2	3	5	1533.1718290057133	26164.56977766335
Italy	2	4	5	1426.673809077313	7820.480947501663
Italy	2	5	5	2055.89058329914	25254.098775886807
Italy	3	1	5	869.4108380039742	8478.557644216742
Italy	3	2	5	915.3859891791561	12778.03193890074
Italy	3	3	5	1195.1235666065184	4708.216046796825
Italy	3	4	5	1607.246868919541	22197.186898647593
Italy	3	5	5	2215.725272279572	35118.63758006828
Italy	4	1	5	686.0190330916922	18658.817177378325
Italy	4	2	5	882.8713978618307	7858.711598132856
Italy	4	3	5	990.5878022611732	13756.873267048768
Italy	4	4	5	1306.2888358176665	12894.365207245333
Italy	4	5	5	2101.347867315618	25975.437069106334
Italy	5	1	5	728.8080442430844	28389.329655295063
Italy	5	2	5	871.3759035505082	32112.05038603659
Italy	5	3	5	831.875866316746	34871.33426502747
Italy	5	4	5	1487.5846454249784	3597.7445820623216
Italy	5	5	5	1920.414262813487	11131.456878098128
Spain	1	1	5	616.9159193590268	14546.395215608987
Spain	1	2	5	1011.9444260116305	26200.950590502413
Spain	1	3	5	1085.01112962338	32618.138491269896
Spain	1	4	5	1281.1048250236881	61870.4227644627
Spain	1	5	5	1815.921332715055	76590.15454285487
Spain	2	1	5	635.4667161988385	6142.741871427375
Spain	2	2	5	877.0454819206287	23746.510833837878
Spain	2	3	5	1183.9729270730072	33448.90577047546
Spain	2	4	5	2036.7424737191016	85911.44497865681
Spain	2	5	5	1749.9346409086477	75028.95884623771
Spain	3	1	5	648.1694058533154	10845.859446314309
Spain	3	2	5	855.3102721137807	23082.938602957947
Spain	3	3	5	1242.0698003222253	37150.0724988557
Spain	3	4	5	1413.8605386940199	42719.4955708004
Spain	3	5	5	1885.587249059936	93745.59106215466
Spain	4	1	5	753.3264228445366	11603.984108021674
Spain	4	2	5	1136.6131376368467	15402.003435482737
Spain	4	3	5	1101.64744719023	20095.14974370904
Spain	4	4	5	1546.697483609634	43077.940277241454
Spain	4	5	5	1857.714023787417	53636.88541457065
Spain	5	1	5	782.379523663322	19244.18448552072
Spain	5	2	5	1115.1835846450322	5676.180910045332
Spain	5	3	5	1280.3036352240492	25695.795606797084
Spain	5	4	5	1770.7501969567313	61406.645788604415
Spain	5	5	5	2266.68976799994	61881.015988572406
Germany	1	1	5	766.7725142210492	4412.295905079811
Germany	1	2	5	1036.2573175393575	14081.209068004084
Germany	1	3	5	1113.5722711849703	32456.339516927303
Germany	1	4	5	1206.5335551052567	54385.96153528593
Germany	1	5	5	1233.0041874715043	84399.425029443
Germany	2	1	5	903.9571015169058	14084.544885889265
Germany	2	2	5	1206.4723644653284	10412.637940966913
Germany	2	3	5	1160.2518202400565	34456.95873325095
Germany	2	4	5	1231.9658399646457	51417.64764483746
Germany	2	5	5	1269.6242119899541	77133.04460060823
Germany	3	1	5	872.3576371608256	3349.7162578886205
Germany	3	2	5	1108.757988076207	17115.217185493144
Germany	3	3	5	1240.8601577075628	41287.98947745579
Germany	3	4	5	1267.1885451079527	59810.60791271425
Germany	3	5	5	1317.99366343697	108098.617720395
